seed,task,model_name,data_mse,physics_residual,seconds_per_epoch,epochs_trained,best_val_loss,inference_ms,task_param_count,generalization_gap,comparison_group
42,duffing,tapinn,0.2289821207523346,0.07189947468313304,0.0675025544828882,27,0.22123482823371887,0.09299800016874955,32210,-0.020846962928771973,physics_trained
42,allen_cahn,tapinn,0.23776310682296753,0.01256766840815544,0.05309575657156529,28,0.20583848655223846,0.37632620078511536,43985,-0.004614055156707764,physics_trained
43,duffing,tapinn,0.19715000689029694,0.06289566613056442,0.0724138682963786,37,0.15085841715335846,0.05010245447258719,32210,0.005000561475753784,physics_trained
43,allen_cahn,tapinn,0.24175713956356049,0.013041870854794978,0.054010207320266825,31,0.21204015612602234,0.21847099997103214,43985,-0.005353912711143494,physics_trained
44,duffing,tapinn,0.19685916602611542,0.0605353293093768,0.07393091017328171,29,0.16312997043132782,0.050892726655795494,32210,-0.0453660786151886,physics_trained
44,allen_cahn,tapinn,0.277924120426178,0.005548631958663464,0.05352805980550733,36,0.23618356883525848,0.2902441978221759,43985,0.006713569164276123,physics_trained
45,duffing,tapinn,0.2550695538520813,0.07164939188144424,0.0738960428005417,35,0.21305295825004578,0.05524581832684238,32210,0.03471451997756958,physics_trained
45,allen_cahn,tapinn,0.260787695646286,0.012861841544508933,0.05399437244583775,18,0.21913620829582214,0.23235340195242316,43985,0.008193343877792358,physics_trained
46,duffing,tapinn,0.21622814238071442,0.05920379168607972,0.07318363070032016,30,0.1695592701435089,0.04839527272534641,32210,0.009964779019355774,physics_trained
46,allen_cahn,tapinn,0.24285084009170532,0.011017227917909623,0.054656339555448435,18,0.22183294594287872,0.32955899951048195,43985,-0.015551835298538208,physics_trained
42,duffing,tapinn_large,0.2204497903585434,0.05969474532387473,0.10423943594408532,18,0.21570201218128204,0.1309435452144085,125858,-0.0196332186460495,physics_trained
42,allen_cahn,tapinn_large,0.22587567567825317,0.016607580706477165,0.062053956217174085,28,0.21977905929088593,0.582469001528807,149409,-0.007131457328796387,physics_trained
43,duffing,tapinn_large,0.1983877569437027,0.06377581066705963,0.10693941015424804,39,0.15050595998764038,0.09804600003090772,125858,0.004313454031944275,physics_trained
43,allen_cahn,tapinn_large,0.22222822904586792,0.020883471891283988,0.06396325241075829,17,0.1802246868610382,0.6044866022421047,149409,-0.007767856121063232,physics_trained
44,duffing,tapinn_large,0.18596409261226654,0.03786193985830654,0.10847247852049165,27,0.16965731978416443,0.08645563635086133,125858,-0.0318775475025177,physics_trained
44,allen_cahn,tapinn_large,0.2486950010061264,0.01720570046454668,0.06334918788666578,18,0.22529634833335876,0.5357248010113835,149409,0.007377251982688904,physics_trained
45,duffing,tapinn_large,0.24603411555290222,0.0633855600926009,0.10553309579991037,20,0.21580180525779724,0.09067954537882046,125858,0.0326337069272995,physics_trained
45,allen_cahn,tapinn_large,0.26367709040641785,0.012378417328000069,0.06312688758020334,31,0.19811204075813293,0.5503863998455927,149409,0.00819733738899231,physics_trained
46,duffing,tapinn_large,0.22514118254184723,0.06907124851237643,0.10736836548111851,29,0.17455002665519714,0.0882685456996445,125858,0.009861588478088379,physics_trained
46,allen_cahn,tapinn_large,0.22337672114372253,0.019640117697417737,0.06432136135117617,17,0.22209027409553528,0.45949800114613026,149409,-0.016921743750572205,physics_trained
42,duffing,hyperpinn,0.2350112795829773,0.06525615162470123,0.3451761743754105,16,0.23149636387825012,0.3003265459979461,291458,-0.004609361290931702,physics_trained
42,allen_cahn,hyperpinn,0.08934752643108368,0.06020611375570297,0.16334464164159726,50,0.08104598522186279,4.998267799965106,291393,0.033767059445381165,physics_trained
43,duffing,hyperpinn,0.19476790726184845,0.059678970582105896,0.3495634071250606,16,0.15774372220039368,0.5129299997034568,291458,0.004428401589393616,physics_trained
43,allen_cahn,hyperpinn,0.04790214076638222,0.05536277666687965,0.15158491692965895,42,0.07007491588592529,5.381351400865242,291393,-0.010993734002113342,physics_trained
44,duffing,hyperpinn,0.1908687949180603,0.0459340839562091,0.329810561702313,37,0.17756015062332153,0.3490650904661214,291458,-0.03492708504199982,physics_trained
