model_name,comparison_group,param_count,task_param_count_max,data_mse_mean,data_mse_std,physics_residual_mean,physics_residual_std,epochs_trained_mean,epochs_trained_std,inference_ms_mean,inference_ms_std,generalization_gap_mean,generalization_gap_std
tapinn,physics_trained,8426,10217,0.3681943267583847,0.0,0.06173357367515564,0.0,4.0,0.0,3.278121497714892,0.0,0.09016592800617218,0.0
tapinn_large,physics_trained,39106,43137,0.3255569338798523,0.0,0.06221871078014374,0.0,4.0,0.0,0.7345659978454933,0.0,0.10867750644683838,0.0
hyperpinn,physics_trained,40258,40258,0.2971618324518204,0.0,0.06561841070652008,0.0,4.0,0.0,1.0012409984483384,0.0,0.08230899646878242,0.0
hyper_lr_pinn,physics_trained,71886,71886,0.3542557656764984,0.0,0.5495803505182266,0.0,4.0,0.0,0.9063709949259646,0.0,0.0355353057384491,0.0
deeponet,physics_trained,19392,17856,0.29369303584098816,0.0,0.047356899827718735,0.0,4.0,0.0,0.6802790012443438,0.0,0.06176947057247162,0.0
fno,supervised_only,29186,1273,0.34026606380939484,0.0,0.07301675528287888,0.0,4.0,0.0,14.234137997846119,0.0,-0.06697770953178406,0.0
