problem,data_mse_mean,data_mse_std,physics_residual_mean,physics_residual_std,relative_l2_error_mean,relative_l2_error_std
duffing,0.6067630052566528,0.0,0.03507194295525551,0.0,1.147130449316049,0.0
lorenz,91.22544860839844,0.0,980.9237060546875,0.0,0.868561832689547,0.0
kuramoto,5.301480770111084,0.0,0.07971575856208801,0.0,1.289781878348742,0.0
