model,data_mse_mean,data_mse_std,physics_residual_mean,physics_residual_std
tapinn_ao,132.68367462158204,85.0747758298809,106.33293762207032,32.584665543956284
tapinn_joint,110.20566940307617,73.50821731444871,217.49425354003907,44.98468838609071
standard_pinn,90.80823516845703,46.08358143341586,514.6662170410157,394.986801035125
