problem,seed,model,data_mse,physics_residual
duffing,42,tapinn_ao,0.3076648712158203,0.0709308311343193
duffing,42,tapinn_joint,0.28804290294647217,0.06610311567783356
duffing,42,tapinn_config,0.3303389847278595,0.08453331142663956
duffing,42,tapinn_soap,0.25313395261764526,0.029223570600152016
duffing,42,standard_pinn,0.32469049096107483,0.05136459320783615
kuramoto,42,tapinn_ao,0.18203407526016235,0.9931429028511047
kuramoto,42,tapinn_joint,0.2393665313720703,0.9063820838928223
kuramoto,42,tapinn_config,0.2518535852432251,0.7341083288192749
kuramoto,42,tapinn_soap,0.21542906761169434,0.780458927154541
kuramoto,42,standard_pinn,1.7882106304168701,0.19831450283527374
lorenz,42,tapinn_ao,0.21995703876018524,0.12259950488805771
lorenz,42,tapinn_joint,0.19809316098690033,0.2133859246969223
lorenz,42,tapinn_config,0.17622743546962738,2.7817740440368652
lorenz,42,tapinn_soap,0.20736649632453918,0.21130973100662231
lorenz,42,standard_pinn,0.2819722890853882,3.278834819793701
allen_cahn,42,tapinn_ao,0.28320035338401794,0.05050808563828468
allen_cahn,42,tapinn_joint,0.2913525700569153,0.0581810288131237
allen_cahn,42,tapinn_config,0.28227493166923523,0.05459989234805107
allen_cahn,42,tapinn_soap,0.3721477687358856,0.00857256818562746
allen_cahn,42,standard_pinn,0.3101675808429718,0.02450941689312458
kuramoto_sivashinsky,42,tapinn_ao,0.3051258623600006,0.1868148297071457
kuramoto_sivashinsky,42,tapinn_joint,0.3005474805831909,0.343973308801651
kuramoto_sivashinsky,42,tapinn_config,0.30336055159568787,0.4458859860897064
kuramoto_sivashinsky,42,tapinn_soap,0.341663122177124,0.023780152201652527
kuramoto_sivashinsky,42,standard_pinn,0.29658955335617065,0.1648349016904831
